thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcMessage.started,textWelcScreen.stopped,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05775029101641849,0.13793829100904986,2.100011957983952,2.1333044579951093,3.0001646659802645,14.552394125028513,space,11.54024279199075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
0,0,0,1,13.824558374995831,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,14.629555875028018,,,,,,,,,,,14.607177041005343,14.629555875028018,14.749723999993876,28.58407124999212,HotstarControl.jpg,Plan 1,1,13.824558374995831,None,28.58484295802191,28.60535691602854,29.088585666031577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
1,0,1,1,6.688013874983881,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,29.14063375000842,,,,,,,,,,,29.13354100001743,29.14063375000842,29.273497458023485,35.97204054100439,SonyLivControl.jpg,Plan 1,1,6.688013874983881,None,35.97260208299849,35.97828904102789,36.468373999989126,36.5208188330289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
2,0,2,1,14.08922620798694,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,36.5208188330289,,,,,,,,,,,36.51401629101019,36.5208188330289,36.674722915980965,50.77207154099597,Zee5Control.jpg,Plan 1,1,14.08922620798694,None,50.7756798749906,50.79379754100228,51.28963362501236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
3,0,3,2,7.0896428329870105,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,51.33819249999942,,,,,,,,,,,51.32929145800881,51.33819249999942,51.46825220802566,58.561402666033246,NetflixControl.jpg,Plan 2,2,7.0896428329870105,None,58.56162083300296,58.56961633299943,59.05813995801145,59.09771379100857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
4,0,4,1,6.996331834001467,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,59.09771379100857,,,,,,,,,,,59.08081474999199,59.09771379100857,59.25898483302444,66.25845666602254,AppleOneControl.jpg,Plan 1,1,6.996331834001467,None,66.25861341599375,66.26916404103395,66.75724754098337,66.79182904103072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
5,0,5,1,6.692666499991901,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,66.79182904103072,,,,,,,,,,,66.78432491602143,66.79182904103072,66.95679716602899,73.65660662500886,CrunchyrollControl.jpg,Plan 1,1,6.692666499991901,None,73.65691737498855,73.66277158301091,74.15793966600904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.15813454100862,74.16945795802167,74.65729662502417,74.70422462502029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
0,0,0,,,,2,7.6707527919788845,None,,,,,,,,,,,0,0,0,0,,,,,,,,,74.70422462502029,,,,,,,,,,,,,,,,,,,,82.5282090830151,82.553261166031,83.04094487498514,,74.69710308301728,74.70422462502029,74.85248379100813,82.52804470801493,AppleOne20.jpg,Plan 2,2,7.6707527919788845,None,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
1,0,1,,,,1,2.0718369590467773,None,,,,,,,,,,,1,0,1,0,,,,,,,,,83.07809220801573,,,,,,,,,,,,,,,,,,,,85.30512391601223,85.31154141598381,85.80307012499543,85.8231150410138,83.06806274998235,83.07809220801573,83.22561912500532,85.30504245799966,Crunchyroll20.jpg,Plan 1,1,2.0718369590467773,None,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
2,0,2,,,,1,3.1031392500153743,None,,,,,,,,,,,2,0,2,0,,,,,,,,,85.8231150410138,,,,,,,,,,,,,,,,,,,,89.11250550003024,89.12494091602275,89.60872854100307,89.65774045803118,85.81411208299687,85.8231150410138,86.00281862501288,89.11237116600387,Zee520.jpg,Plan 1,1,3.1031392500153743,None,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
3,0,3,,,,1,1.0384687919868156,None,,,,,,,,,,,3,0,3,0,,,,,,,,,89.65774045803118,,,,,,,,,,,,,,,,,,,,90.85894683300285,90.86974699998973,91.35776116600027,91.3898000830086,89.64862799999537,89.65774045803118,89.81016816600459,90.8588296250091,SonyLiv20.jpg,Plan 1,1,1.0384687919868156,None,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
4,0,4,,,,2,2.0597020410350524,None,,,,,,,,,,,4,0,4,0,,,,,,,,,91.3898000830086,,,,,,,,,,,,,,,,,,,,93.6230152079952,93.62872566602891,94.12415758299176,,91.38030708301812,91.3898000830086,91.55765000003157,93.62277391599491,Netflix20.jpg,Plan 2,2,2.0597020410350524,None,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
5,0,5,,,,1,3.1218285000068136,None,,,,,,,,,,,5,0,5,0,,,,,,,,,94.16458029102068,,,,,,,,,,,,,,,,,,,,97.44671020802343,97.4532442910131,97.94158633297775,97.95314233301906,94.158036791021,94.16458029102068,94.31940354098333,97.44610704103252,Hotstar20.jpg,Plan 1,1,3.1218285000068136,None,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.94180591602344,97.95314233301906,98.44158470799448,98.48277250002138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
0,0,0,,,,,,,1,2.4521741250064224,None,,,,,,,,,,,,0,0,0,0,,,,,98.48277250002138,,,,,,,,,,,,,,,,,,,,101.10967379098292,101.12002479098737,101.60848866601009,101.63737020798726,,,,,,,,,,98.47458358301083,98.48277250002138,98.65385699999752,101.10952295799507,Hotstar30.jpg,Plan 1,1,2.4521741250064224,None,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
