thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032784582988824695,0.10205708300054539,2.093689582994557,2.093689582994557,2.994649832995492,109.37433483300265,space,106.36970662500244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,001,2025-03-28_17h42.05.261,RES501,2024.2.4,119.95837443434361,2025-03-28 17h42.29.001951 +0530,
0,0,0,2,336.34341499999573,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,109.53611087499303,,,,,,,,,,,109.47403008300171,109.53611087499303,109.57133270800114,445.9510282909905,HotstarControl.jpg,Plan 2,2,336.34341499999573,None,445.95295862499916,446.0918287910026,446.46233941600076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,001,2025-03-28_17h42.05.261,RES501,2024.2.4,119.95837443434361,2025-03-28 17h42.29.001951 +0530,
1,0,1,2,22.045059915995807,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,446.54267333299504,,,,,,,,,,,446.5327953329979,446.54267333299504,446.6455077499995,468.7051788749959,CrunchyrollControl.jpg,Plan 2,2,22.045059915995807,None,468.705911165991,468.72485383300227,469.21252062499116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,001,2025-03-28_17h42.05.261,RES501,2024.2.4,119.95837443434361,2025-03-28 17h42.29.001951 +0530,
2,0,2,4,13.867987292003818,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,469.2707507079904,,,,,,,,,,,469.26027262498974,469.2707507079904,469.4022297499905,483.2790287909884,NetflixControl.jpg,Plan 4,4,13.867987292003818,None,483.27914504100045,483.2862524999946,483.7792399579921,483.8062853329902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,001,2025-03-28_17h42.05.261,RES501,2024.2.4,119.95837443434361,2025-03-28 17h42.29.001951 +0530,
3,0,3,2,26.439439541005413,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,483.8062853329902,,,,,,,,,,,483.79935454099905,483.8062853329902,483.96922816599545,510.4162290410022,Zee5Control.jpg,Plan 2,2,26.439439541005413,None,510.4170661249955,510.42358529099147,510.9133352499921,510.97927795800206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,001,2025-03-28_17h42.05.261,RES501,2024.2.4,119.95837443434361,2025-03-28 17h42.29.001951 +0530,
4,0,4,2,16.460976083995774,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,510.97927795800206,,,,,,,,,,,510.9706043329934,510.97927795800206,511.1118593329884,527.5885263749951,SonyLivControl.jpg,Plan 2,2,16.460976083995774,None,527.5920017079916,527.611510207993,528.0956114579894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,001,2025-03-28_17h42.05.261,RES501,2024.2.4,119.95837443434361,2025-03-28 17h42.29.001951 +0530,
5,0,5,1,4.337835709011415,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,528.1326975409902,,,,,,,,,,,528.1261449159938,528.1326975409902,528.285319165996,532.6306009580003,AppleOneControl.jpg,Plan 1,1,4.337835709011415,None,532.630743791,532.6388099159958,533.1295255000005,533.135236874994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,001,2025-03-28_17h42.05.261,RES501,2024.2.4,119.95837443434361,2025-03-28 17h42.29.001951 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.1297401249903,533.135236874994,533.6195960409968,533.6669309579884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,001,2025-03-28_17h42.05.261,RES501,2024.2.4,119.95837443434361,2025-03-28 17h42.29.001951 +0530,
0,0,0,,,,4,8.859201291998033,None,,,,,,,,,,,0,0,0,0,,,,,,,,,533.6669309579884,,,,,,,,,,,,,,,,,,,,542.6970783750003,542.7047332079965,543.196320374991,543.2471791659918,533.6576362499909,533.6669309579884,533.8287389999896,542.6969267079985,Netflix20.jpg,Plan 4,4,8.859201291998033,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,001,2025-03-28_17h42.05.261,RES501,2024.2.4,119.95837443434361,2025-03-28 17h42.29.001951 +0530,
1,0,1,,,,2,13.29901729201083,None,,,,,,,,,,,1,0,1,0,,,,,,,,,543.2471791659918,,,,,,,,,,,,,,,,,,,,556.7052594999986,556.7183837909979,557.2025893329992,557.2471852500021,543.2404702079948,543.2471791659918,543.3953380409948,556.7046103329922,SonyLiv20.jpg,Plan 2,2,13.29901729201083,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,001,2025-03-28_17h42.05.261,RES501,2024.2.4,119.95837443434361,2025-03-28 17h42.29.001951 +0530,
