thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016832166002132,0.02516962500521913,2.0170711660030065,2.094542165999883,2.9949404159997357,22.43781979099731,space,19.438120665989118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
0,0,0,2,24.04011679100222,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,22.518478250000044,,,,,,,,,,,22.495074207996367,22.518478250000044,22.634423458002857,46.68146908300696,CrunchyrollControl.jpg,Plan 2,2,24.04011679100222,None,46.68164033300127,46.69260833300359,47.20914045799873,47.18066583300242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
1,0,1,1,27.055547500000102,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,47.20914045799873,,,,,,,,,,,47.2023798750015,47.20914045799873,47.37962329100992,74.44185066600039,Zee5Control.jpg,Plan 1,1,27.055547500000102,None,74.4425662499998,74.4526837500016,74.99323120800545,74.93704108300153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
2,0,2,4,9.380530458001886,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,74.99323120800545,,,,,,,,,,,74.98638512499747,74.99323120800545,75.13674616599747,84.52310966599907,NetflixControl.jpg,Plan 4,4,9.380530458001886,None,84.52325566600484,84.53618920799636,85.05877845799841,85.02057862500078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
3,0,3,3,68.05003308299638,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,85.05877845799841,,,,,,,,,,,85.05211375000363,85.05877845799841,85.22038416600844,153.28999320800358,HotstarControl.jpg,Plan 3,3,68.05003308299638,None,153.29057675000513,153.30128374999913,153.8579847910005,153.78948170800868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
4,0,4,3,31.402866042000824,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,153.8579847910005,,,,,,,,,,,153.85115520800173,153.8579847910005,153.9894702080055,185.40253354099696,SonyLivControl.jpg,Plan 3,3,31.402866042000824,None,185.40270012500696,185.41198408300988,185.93368412500422,185.90183050000633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
5,0,5,2,20.62196841700643,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,185.93368412500422,,,,,,,,,,,185.9266890410072,185.93368412500422,186.10106754100707,206.73195750000014,AppleOneControl.jpg,Plan 2,2,20.62196841700643,None,206.73268445800932,206.73991858299996,207.23510250000982,207.22487975000695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.2252355410019,207.23510250000982,207.77557229100785,207.71907900000224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
0,0,0,,,,4,20.131692459006445,None,,,,,,,,,,,0,0,0,0,,,,,,,,,207.77557229100785,,,,,,,,,,,,,,,,,,,,228.06074062500556,228.06804612500127,228.59403125000244,228.55275733300368,207.76797366600658,207.77557229100785,207.92437300000165,228.06062229099916,Netflix20.jpg,Plan 4,4,20.131692459006445,None,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
1,0,1,,,,3,36.33516033399792,None,,,,,,,,,,,1,0,1,0,,,,,,,,,228.59403125000244,,,,,,,,,,,,,,,,,,,,265.1010073750076,265.10940887501056,265.6330583329982,265.5948879580101,228.58764962499845,228.59403125000244,228.75798383299843,265.0999904580094,SonyLiv20.jpg,Plan 3,3,36.33516033399792,None,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
2,0,2,,,,3,28.06312383299519,None,,,,,,,,,,,2,0,2,0,,,,,,,,,265.6330583329982,,,,,,,,,,,,,,,,,,,,293.8628900409967,293.88799508300144,,294.3711424580106,265.6259778329986,265.6330583329982,265.79274162500224,293.8627335409983,Hotstar20.jpg,Plan 3,3,28.06312383299519,None,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
3,0,3,,,,3,7.2309957910038065,None,,,,,,,,,,,3,0,3,0,,,,,,,,,294.4074232910061,,,,,,,,,,,,,,,,,,,,301.79749725000875,301.8091140410106,302.32250737500726,302.29455579099886,294.4006671660027,294.4074232910061,294.5604183329997,301.7973581249971,Crunchyroll20.jpg,Plan 3,3,7.2309957910038065,None,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
4,0,4,,,,2,17.714977625000756,None,,,,,,,,,,,4,0,4,0,,,,,,,,,302.32250737500726,,,,,,,,,,,,,,,,,,,,320.2141603330092,320.22698016600043,320.73985966600594,320.711611250008,302.31532662500103,302.32250737500726,302.4939945410006,320.2140132080094,AppleOne20.jpg,Plan 2,2,17.714977625000756,None,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
5,0,5,,,,1,3.1630640420044074,None,,,,,,,,,,,5,0,5,0,,,,,,,,,320.73985966600594,,,,,,,,,,,,,,,,,,,,324.0810229159979,324.0932445829967,324.5885169999965,324.57934816600755,320.73299612500705,320.73985966600594,320.9116968330054,324.0808814159973,Zee520.jpg,Plan 1,1,3.1630640420044074,None,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.5795597499964,324.5885169999965,325.1119993750035,325.0725283750071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
0,0,0,,,,,,,3,10.881833166989964,None,,,,,,,,,,,,0,0,0,0,,,,,325.1119993750035,,,,,,,,,,,,,,,,,,,,336.16485937499965,336.1781818330055,336.69525550000253,336.66198941601033,,,,,,,,,,325.1039307500032,325.1119993750035,325.27774358300667,336.1647021660028,Hotstar30.jpg,Plan 3,3,10.881833166989964,None,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
1,0,1,,,,,,,4,14.55859420800698,None,,,,,,,,,,,,1,0,1,0,,,,,336.69525550000253,,,,,,,,,,,,,,,,,,,,351.4255722500093,351.43147745799797,351.9733347500005,351.9233152910019,,,,,,,,,,336.6886047080043,336.69525550000253,336.8618994580029,351.42528804100584,Netflix30.jpg,Plan 4,4,14.55859420800698,None,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
2,0,2,,,,,,,3,24.310205375004443,None,,,,,,,,,,,,2,0,2,0,,,,,351.9733347500005,,,,,,,,,,,,,,,,,,,,376.44297124999866,376.45221787500486,376.97576879100234,376.940658624997,,,,,,,,,,351.966583750007,351.9733347500005,352.12248499999987,376.44268554099835,SonyLiv30.jpg,Plan 3,3,24.310205375004443,None,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
3,0,3,,,,,,,2,15.896530124999117,None,,,,,,,,,,,,3,0,3,0,,,,,376.97576879100234,,,,,,,,,,,,,,,,,,,,393.042545083008,393.0472737079981,393.5730010410043,393.53228512500937,,,,,,,,,,376.968750458007,376.97576879100234,377.139872166008,393.04235470799904,AppleOne30.jpg,Plan 2,2,15.896530124999117,None,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
4,0,4,,,,,,,2,6.089774207997834,None,,,,,,,,,,,,4,0,4,0,,,,,393.5730010410043,,,,,,,,,,,,,,,,,,,,399.83292845801043,399.8447797080007,400.36248983300175,400.331674208006,,,,,,,,,,393.566142124997,393.5730010410043,393.7404971250071,399.83278154100117,Crunchyroll30.jpg,Plan 2,2,6.089774207997834,None,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
5,0,5,,,,,,,1,2.0472819580027135,None,,,,,,,,,,,,5,0,5,0,,,,,400.36248983300175,,,,,,,,,,,,,,,,,,,,402.583414875,402.59573012500186,403.0911407500098,403.0802168329974,,,,,,,,,,400.35590166600014,400.36248983300175,400.52993704100663,402.5832653749967,Zee530.jpg,Plan 1,1,2.0472819580027135,None,,,,,,,,,,,,,,,,,72993,001,2025-03-28_12h29.57.248,RES501,2024.2.4,None,2025-03-28 12h30.11.732564 +0530,
