thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008989500114694238,0.028372500091791153,2.02752080000937,2.112031999975443,3.0091852000914514,24.098357300041243,space,21.07296620006673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
0,0,0,2,12.239018099848181,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,24.19448440009728,,,,,,,,,,,24.12471039989032,24.19448440009728,24.30601690011099,36.55388029990718,HotstarControl.jpg,Plan 2,2,12.239018099848181,None,36.554009299958125,36.56879730010405,37.05448539997451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
1,0,1,2,3.829850799869746,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,37.086108499905095,,,,,,,,,,,37.07926440006122,37.086108499905095,37.25372139993124,41.08782160002738,NetflixControl.jpg,Plan 2,2,3.829850799869746,None,41.08796499995515,41.10194439999759,41.58565289992839,41.61749129998498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
2,0,2,3,5.415811100043356,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,41.61749129998498,,,,,,,,,,,41.602849799906835,41.61749129998498,41.80242340010591,47.234987600008026,SonyLivControl.jpg,Plan 3,3,5.415811100043356,None,47.23510399996303,47.2507180001121,47.751317699905485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
3,0,3,1,3.1065074999351054,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,47.783800800098106,,,,,,,,,,,47.772216599900275,47.783800800098106,47.93478269991465,51.05136339995079,Zee5Control.jpg,Plan 1,1,3.1065074999351054,None,51.05149280000478,51.06617149990052,51.55075650010258,51.5822425999213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
4,0,4,3,13.39069030014798,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,51.5822425999213,,,,,,,,,,,51.57634759997018,51.5822425999213,51.76682380004786,65.16453399998136,CrunchyrollControl.jpg,Plan 3,3,13.39069030014798,None,65.16466020001099,65.17953870003112,65.66475849994458,65.69696650002152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
5,0,5,2,7.810332200024277,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,65.69696650002152,,,,,,,,,,,65.68229139992036,65.69696650002152,65.8641057999339,73.68096309993416,AppleOneControl.jpg,Plan 2,2,7.810332200024277,None,73.6810902999714,73.69457720010541,74.17906969995238,74.24264120007865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.23294540005736,74.24264120007865,74.69320870004594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
0,0,0,,,,1,6.086326800053939,None,,,,,,,,,,,0,0,0,0,,,,,,,,,74.72785519994795,,,,,,,,,,,,,,,,,,,,80.99434360000305,81.00883390009403,81.49375550006516,81.52560780011117,74.707280700095,74.72785519994795,74.89561309991404,80.99423309997655,Hotstar20.jpg,Plan 1,1,6.086326800053939,None,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
1,0,1,,,,2,11.955072599928826,None,,,,,,,,,,,1,0,1,0,,,,,,,,,81.52560780011117,,,,,,,,,,,,,,,,,,,,93.67783339996822,93.69223980000243,94.19083700003102,,81.50766579993069,81.52560780011117,81.70947450003587,93.67767479992472,Netflix20.jpg,Plan 2,2,11.955072599928826,None,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
