thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0177219,0.0360511,2.0373635,2.1052884,3.0051107,26.5316643,space,23.4612939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
0,0,0,2,280.0213398,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,26.5994092,,,,,,,,,,,26.5677783,26.5994092,26.7328568,306.7791435,HotstarControl.jpg,Plan 2,2,280.0213398,None,306.8006687,306.8781261,307.3168393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
1,0,1,2,28.2286319,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,307.5456014,,,,,,,,,,,307.5115776,307.5456014,307.5456014,335.7961268,AppleOneControl.jpg,Plan 2,2,28.2286319,None,335.7964526,335.8103401,336.2979235,336.3958473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
2,0,2,3,44.1375498,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,336.3958473,,,,,,,,,,,336.381787,336.3958473,336.5126633,380.6821645,SonyLivControl.jpg,Plan 3,3,44.1375498,None,380.6824069,380.7078101,381.1977356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
3,0,3,1,37.0113822,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,381.2648888,,,,,,,,,,,381.2445253,381.2648888,381.4125831,418.4418359,Zee5Control.jpg,Plan 1,1,37.0113822,None,418.442092,418.4653528,418.9514804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
4,0,4,2,14.7643272,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,419.0171923,,,,,,,,,,,419.0002357,419.0171923,419.1729241,433.9548055,NetflixControl.jpg,Plan 2,2,14.7643272,None,433.9549698,433.9712365,434.4721406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
5,0,5,2,25.0420585,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,434.5531577,,,,,,,,,,,434.5255798,434.5531577,434.6557394,459.7028947,CrunchyrollControl.jpg,Plan 2,2,25.0420585,None,459.7030707,459.7259358,460.2178245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.5349112,460.5445915,460.7041797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
0,0,0,,,,2,28.2246578,None,,,,,,,,,,,0,0,0,0,,,,,,,,,460.7810775,,,,,,,,,,,,,,,,,,,,489.1548671,489.1748466,489.6632137,,460.760613,460.7810775,460.9216664,489.1543954,Hotstar20.jpg,Plan 2,2,28.2246578,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
1,0,1,,,,2,24.8898405,None,,,,,,,,,,,1,0,1,0,,,,,,,,,489.7463286,,,,,,,,,,,,,,,,,,,,514.7606328,514.7728127,515.2586651,515.3582246,489.720691,489.7463286,489.8654249,514.7605188,AppleOne20.jpg,Plan 2,2,24.8898405,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
2,0,2,,,,2,21.19509,None,,,,,,,,,,,2,0,2,0,,,,,,,,,515.3582246,,,,,,,,,,,,,,,,,,,,536.6780406,536.6977045,537.1848376,,515.3352482,515.3582246,515.4762521,536.6778029,Zee520.jpg,Plan 2,2,21.19509,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
3,0,3,,,,3,16.2981145,None,,,,,,,,,,,3,0,3,0,,,,,,,,,537.2510221,,,,,,,,,,,,,,,,,,,,553.7059429,553.7289259,554.2225929,,537.2265057,537.2510221,537.3982968,553.7055846,Netflix20.jpg,Plan 3,3,16.2981145,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
4,0,4,,,,1,18.2321943,None,,,,,,,,,,,4,0,4,0,,,,,,,,,554.2901197,,,,,,,,,,,,,,,,,,,,572.6753321,572.6880244,573.174048,573.2382907,554.2699693,554.2901197,554.4179802,572.6752085,Crunchyroll20.jpg,Plan 3,3,18.2321943,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
5,0,5,,,,3,17.3569147,None,,,,,,,,,,,5,0,5,0,,,,,,,,,573.2382907,,,,,,,,,,,,,,,,,,,,590.7502708,590.7732674,591.2592187,,573.227727,573.2382907,573.3757835,590.7496766,SonyLiv20.jpg,Plan 3,3,17.3569147,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.3830942,591.4068445,591.7586261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
