thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcMessage.started,textWelcScreen.stopped,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052781290956772864,0.15689820796251297,2.0955852909828536,2.1547142079798505,2.994564332999289,12.988057999988087,space,9.90134958398994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
0,0,0,2,15.394267458003014,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,13.157584624947049,,,,,,,,,,,13.044497374969069,13.157584624947049,13.179719207982998,28.595956332981586,SonyLivControl.jpg,Plan 2,2,15.394267458003014,None,28.596515999990515,28.60709704097826,29.14269066596171,29.094227124995086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
1,0,1,2,3.6080291669932194,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,29.14269066596171,,,,,,,,,,,29.133927957969718,29.14269066596171,29.29390433296794,32.90984216600191,NetflixControl.jpg,Plan 2,2,3.6080291669932194,None,32.909973290981725,32.93884858296951,,33.4216636249912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
2,0,2,2,3.8386840829625726,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,33.4633492079447,,,,,,,,,,,33.456868874956854,33.4633492079447,33.607843332982156,37.45736608299194,AppleOneControl.jpg,Plan 2,2,3.8386840829625726,None,37.45751395798288,37.46641708299285,37.989036957966164,37.95561787497718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
3,0,3,3,12.307350459042937,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,37.989036957966164,,,,,,,,,,,37.981121290999,37.989036957966164,38.15497116598999,50.47687162499642,CrunchyrollControl.jpg,Plan 3,3,12.307350459042937,None,50.47758399997838,50.49248333298601,,50.97832658299012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
4,0,4,2,3.4654691250179894,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,51.03712737496244,,,,,,,,,,,51.02976070798468,51.03712737496244,51.17233937495621,54.642825999995694,HotstarControl.jpg,Plan 2,2,3.4654691250179894,None,54.64292737498181,54.65448079095222,55.161170374951325,55.14263879094506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
5,0,5,1,5.2970602089772,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,55.161170374951325,,,,,,,,,,,55.153873790986836,55.161170374951325,55.340050040977076,60.64520524995169,Zee5Control.jpg,Plan 1,1,5.2970602089772,None,60.64528720796807,60.65548049996141,61.14707124995766,61.14246354094939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1426417909679,61.14707124995766,61.704462290974334,61.64464379096171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
0,0,0,,,,3,2.671466458006762,None,,,,,,,,,,,0,0,0,0,,,,,,,,,61.704462290974334,,,,,,,,,,,,,,,,,,,,64.51775329100201,64.5392743749544,,65.02396120794583,61.69730141595937,61.704462290974334,61.83845762495184,64.51736791594885,SonyLiv20.jpg,Plan 3,3,2.671466458006762,None,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
1,0,1,,,,3,1.7509589580004103,None,,,,,,,,,,,1,0,1,0,,,,,,,,,65.07669074996375,,,,,,,,,,,,,,,,,,,,66.98358245799318,66.99541841598693,67.52134616597323,67.47836391598685,65.06930908298818,65.07669074996375,65.21432420797646,66.9829537079786,Crunchyroll20.jpg,Plan 3,3,1.7509589580004103,None,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
