thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006804000004194677,0.025298100023064762,2.0270161000080407,2.110880199994426,3.0118024999974295,27.54250390001107,space,24.343124899955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
0,0,0,3,55.281203799997456,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,27.62340460001724,,,,,,,,,,,27.58163940004306,27.62340460001724,27.74375260004308,83.03845510003157,HotstarControl.jpg,Plan 3,3,55.281203799997456,None,83.03870070003904,83.04988659999799,83.61761010001646,83.53573480003979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
1,0,1,2,27.461340399982873,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,83.61761010001646,,,,,,,,,,,83.60420840000734,83.61761010001646,83.75217160000466,111.21799299999839,SonyLivControl.jpg,Plan 2,2,27.461340399982873,None,111.21816230000695,111.23158280004282,111.81427999999141,111.71673779998673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
2,0,2,2,17.837885200046003,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,111.81427999999141,,,,,,,,,,,111.80192190001253,111.81427999999141,111.9336049000267,129.77537779998966,AppleOneControl.jpg,Plan 2,2,17.837885200046003,None,129.7758615000057,129.80011680000462,,130.28546460001962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
3,0,3,2,25.764902200025972,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,130.33745660004206,,,,,,,,,,,130.32169080001768,130.33745660004206,130.4882493999903,156.26909489999525,Zee5Control.jpg,Plan 2,2,25.764902200025972,None,156.2693786000018,156.28149260004284,156.83243120001862,156.76761179999448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
4,0,4,2,7.429074300045613,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,156.83243120001862,,,,,,,,,,,156.82503810001072,156.83243120001862,156.9834331999882,164.42765200004214,NetflixControl.jpg,Plan 2,2,7.429074300045613,None,164.427902800031,164.44066590000875,165.0081204000162,164.92515970004024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
5,0,5,1,21.974430900008883,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,165.0081204000162,,,,,,,,,,,164.9921060000197,165.0081204000162,165.14249890000792,187.12232780002523,CrunchyrollControl.jpg,Plan 1,1,21.974430900008883,None,187.1225791000179,187.1315723999869,187.76312950003194,187.61480989999836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.75877140002558,187.76312950003194,,188.13196120003704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
0,0,0,,,,3,19.811441399971955,None,,,,,,,,,,,0,0,0,0,,,,,,,,,188.1838778000092,,,,,,,,,,,,,,,,,,,,208.16194060002454,208.17181299999356,208.73838210001122,208.65711989998817,188.16834100004053,188.1838778000092,188.3350339999888,208.16146450000815,Hotstar20.jpg,Plan 3,3,19.811441399971955,None,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
1,0,1,,,,2,7.918636200018227,None,,,,,,,,,,,1,0,1,0,,,,,,,,,208.73838210001122,,,,,,,,,,,,,,,,,,,,216.80274449998979,216.81420570000773,217.38365040003555,217.2996742000105,208.71946430002572,208.73838210001122,208.8739440999925,216.80239630001597,AppleOne20.jpg,Plan 2,2,7.918636200018227,None,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
