thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006804999895,0.02397400001,2.0231353,2.1067277,3.0071425,3.9629878,space,0.9376663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
0,0,0,2,11.0533294,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,4.0380296,,,,,,,,,,,3.9979765,4.0380296,4.172363,15.2302448,CrunchyrollControl.jpg,Plan 2,2,11.0533294,None,15.2303945,15.2443245,15.7782157,15.7281257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
1,0,1,2,5.3465233,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,15.7782157,,,,,,,,,,,15.7580249,15.7782157,15.9445853,21.3079026,SonyLivControl.jpg,Plan 2,2,5.3465233,None,21.3080618,21.3216835,21.837345,21.8062798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
2,0,2,2,6.3053511,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,21.837345,,,,,,,,,,,21.8283588,21.837345,22.0224883,28.3345511,HotstarControl.jpg,Plan 2,2,6.3053511,None,28.334719,28.3485289,28.8639092,28.8338964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
3,0,3,1,4.983755,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,28.8639092,,,,,,,,,,,28.8555144,28.8639092,29.0497577,34.0456376,Zee5Control.jpg,Plan 1,1,4.983755,None,34.0458194,34.059383,34.5769865,34.54419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
4,0,4,3,4.0928402,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,34.5769865,,,,,,,,,,,34.5599432,34.5769865,34.7604899,38.8581452,NetflixControl.jpg,Plan 3,3,4.0928402,None,38.8582771,38.8711046,39.3895356,39.3556881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
5,0,5,2,6.8564915,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,39.3895356,,,,,,,,,,,39.3676574,39.3895356,39.5711603,46.434829,AppleOneControl.jpg,Plan 2,2,6.8564915,None,46.4350063,46.4481093,46.9482988,46.9321168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9322673,46.9482988,,47.447422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
0,0,0,,,,2,16.8978279,None,,,,,,,,,,,0,0,0,0,,,,,,,,,47.4839479,,,,,,,,,,,,,,,,,,,,64.549927,64.564228,65.0804313,65.0476396,47.4619631,47.4839479,47.6488761,64.5498422,Hotstar20.jpg,Plan 2,2,16.8978279,None,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
1,0,1,,,,2,6.2271737,None,,,,,,,,,,,1,0,1,0,,,,,,,,,65.0804313,,,,,,,,,,,,,,,,,,,,71.4929382,71.5074635,72.0262111,71.9905004,65.0604453,65.0804313,65.2640286,71.4928529,SonyLiv20.jpg,Plan 2,2,6.2271737,None,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
