thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcMessage.started,textWelcScreen.stopped,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05013195800711401,0.11554662499111146,2.0965351249906234,2.1123246669885702,2.995530582993524,40.132546333014034,space,37.13123158400413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
0,0,0,3,29.996868000016548,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,40.258553666993976,,,,,,,,,,,40.211842416989384,40.258553666993976,40.32998483299161,70.33503095799824,HotstarControl.jpg,Plan 3,3,29.996868000016548,None,70.33578154200222,70.35624133300735,70.83961041699513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
1,0,1,1,44.41449850000208,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,70.90029900000081,,,,,,,,,,,70.89355500001693,70.90029900000081,71.0300122500048,115.45279783301521,Zee5Control.jpg,Plan 1,1,44.41449850000208,None,115.45428750000428,115.46725604200037,115.95711237500655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
2,0,2,3,38.565085792011814,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,116.00455041701207,,,,,,,,,,,115.99630529200658,116.00455041701207,116.14669625001261,154.7225776250125,CrunchyrollControl.jpg,Plan 3,3,38.565085792011814,None,154.7238784999936,154.73120179199032,155.21491762500955,155.29404800001066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
3,0,3,1,55.81083404098172,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,155.29404800001066,,,,,,,,,,,155.28686770799686,155.29404800001066,155.41377820799244,211.23451337500592,SonyLivControl.jpg,Plan 1,1,55.81083404098172,None,211.23524891701527,211.2518326670106,211.74202212499222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
4,0,4,1,25.195300499995938,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,211.79325812499155,,,,,,,,,,,211.78521558298962,211.79325812499155,211.93104066699743,237.1341847500007,AppleOneControl.jpg,Plan 1,1,25.195300499995938,None,237.13454654201632,237.13974579199567,237.62542374999612,237.66073804200278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
5,0,5,2,36.55497500000638,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,237.66073804200278,,,,,,,,,,,237.65446020799573,237.66073804200278,237.83118258300237,274.39460487500764,NetflixControl.jpg,Plan 2,2,36.55497500000638,None,274.3950482500077,274.4074978750141,274.8929042080126,274.8987653749937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.8931562080106,274.8987653749937,275.3825382080104,275.4278289999929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
0,0,0,,,,3,32.081851499999175,None,,,,,,,,,,,0,0,0,0,,,,,,,,,275.4278289999929,,,,,,,,,,,,,,,,,,,,307.67927433300065,307.68787408299977,308.17673183299485,308.22214075000375,275.41739979200065,275.4278289999929,275.5922467499913,307.6788390830043,Crunchyroll20.jpg,Plan 3,3,32.081851499999175,None,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
1,0,1,,,,2,24.92111362502328,None,,,,,,,,,,,1,0,1,0,,,,,,,,,308.22214075000375,,,,,,,,,,,,,,,,,,,,333.3076515420107,333.3155551670061,333.7997767080087,333.8255225830071,308.2153506249888,308.22214075000375,308.37600575000397,333.30717275000643,Netflix20.jpg,Plan 2,2,24.92111362502328,None,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
2,0,2,,,,1,9.356658791017253,None,,,,,,,,,,,2,0,2,0,,,,,,,,,333.8255225830071,,,,,,,,,,,,,,,,,,,,343.36106445800397,343.3662015000009,343.8497853750014,343.88940404201276,333.81907558301464,333.8255225830071,334.00007558299694,343.36088391699013,Zee520.jpg,Plan 1,1,9.356658791017253,None,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
3,0,3,,,,3,10.779702290979913,None,,,,,,,,,,,3,0,3,0,,,,,,,,,343.88940404201276,,,,,,,,,,,,,,,,,,,,354.84641475000535,354.8518029580009,355.3434791670006,355.3709617080167,343.8827735829982,343.88940404201276,344.0591420830169,354.8459415420075,Hotstar20.jpg,Plan 3,3,10.779702290979913,None,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
4,0,4,,,,1,7.8717611669853795,None,,,,,,,,,,,4,0,4,0,,,,,,,,,355.3709617080167,,,,,,,,,,,,,,,,,,,,363.4207373750105,363.42678787501063,363.90972520801006,363.9640879170038,355.364596792002,355.3709617080167,355.5428681670164,363.4203765419952,AppleOne20.jpg,Plan 1,1,7.8717611669853795,None,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
5,0,5,,,,1,9.79407849998097,None,,,,,,,,,,,5,0,5,0,,,,,,,,,363.9640879170038,,,,,,,,,,,,,,,,,,,,373.9182464579935,373.933409958001,374.4262426670175,,363.9555540000147,363.9640879170038,364.11718079200364,373.91808620799566,SonyLiv20.jpg,Plan 1,1,9.79407849998097,None,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.42643454199424,374.43268812500173,374.9167770000058,374.94489474999136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
