thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcMessage.started,textWelcScreen.stopped,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,textblank500.stopped,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1220904,0.153912,2.1221847,2.160733,3.0104589,54.9428986,space,51.9018369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
0,0,0,3,80.3769174,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,55.2317724,,,,,,,,,,,55.045363,55.2317724,55.2490878,135.6569776,HotstarControl.jpg,Plan 3,3,80.3769174,None,135.6574906,135.6852909,136.172662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
1,0,1,2,46.0467468,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,136.2737932,,,,,,,,,,,136.2565585,136.2737932,136.3574373,182.4115169,SonyLivControl.jpg,Plan 2,2,46.0467468,None,182.4118654,182.4372407,182.924064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
2,0,2,3,43.8293433,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,183.0616326,,,,,,,,,,,183.0371654,183.0616326,183.1262518,226.9775005,CrunchyrollControl.jpg,Plan 3,3,43.8293433,None,226.9778667,227.0028827,227.4905364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
3,0,3,3,38.8037842,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,227.5971658,,,,,,,,,,,227.5713826,227.5971658,227.6920534,266.5044774,NetflixControl.jpg,Plan 3,3,38.8037842,None,266.5048052,266.5293939,267.0169101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
4,0,4,2,10.2242094,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,267.1165159,,,,,,,,,,,267.0891098,267.1165159,267.2186239,277.4498822,AppleOneControl.jpg,Plan 2,2,10.2242094,None,277.4501289,277.4754344,277.9626091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
5,0,5,1,72.1205976,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,278.0322297,,,,,,,,,,,278.0086253,278.0322297,278.1643615,350.2969954,Zee5Control.jpg,Plan 1,1,72.1205976,None,350.2972184,350.3219397,350.8095221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.1113565,351.1236254,351.3092977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
0,0,0,,,,2,26.8762494,None,,,,,,,,,,,0,0,0,0,,,,,,,,,351.4289643,,,,,,,,,,,,,,,,,,,,378.3943677,378.419314,378.9064056,351.401674,351.4289643,351.5112485,378.3939243,SonyLiv20.jpg,Plan 2,2,26.8762494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
1,0,1,,,,2,36.400904,None,,,,,,,,,,,1,0,1,0,,,,,,,,,379.0066907,,,,,,,,,,,,,,,,,,,,415.5184748,415.5437947,416.0313802,378.9864445,379.0066907,379.1089616,415.5182193,AppleOne20.jpg,Plan 2,2,36.400904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
