thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021144600003026426,0.03964040000573732,2.0573757000020123,2.1101105000052485,3.019196200002625,135.8684818000038,space,132.81228140000167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
0,0,0,2,11.957096099999035,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,135.99583710000297,,,,,,,,,,,135.92824040000414,135.99583710000297,136.07967360000475,148.05356900000334,AppleOneControl.jpg,Plan 2,2,11.957096099999035,None,148.05387980000523,148.07541300000594,148.57687409999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
1,0,1,1,13.647566499996174,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,148.6437642000019,,,,,,,,,,,148.62232570000197,148.6437642000019,148.76323530000082,162.41799560000072,Zee5Control.jpg,Plan 1,1,13.647566499996174,None,162.41844950000086,162.43577760000335,162.92792190000182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
2,0,2,3,13.891091299999971,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,163.0392021000007,,,,,,,,,,,163.01708630000212,163.0392021000007,163.13669970000046,177.04276460000256,SonyLivControl.jpg,Plan 3,3,13.891091299999971,None,177.04306899999938,177.06832460000442,177.55621000000247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
3,0,3,1,23.145568399995682,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,177.60807550000027,,,,,,,,,,,177.59104030000162,177.60807550000027,177.75397330000123,200.92103040000075,CrunchyrollControl.jpg,Plan 1,1,23.145568399995682,None,200.9215633000058,200.94715830000496,201.43544870000187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
4,0,4,3,15.359679500004859,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,201.50192049999896,,,,,,,,,,,201.4826527000041,201.50192049999896,201.63729080000485,217.00935570000001,NetflixControl.jpg,Plan 3,3,15.359679500004859,None,217.0098885000043,217.02953360000538,217.51076810000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
5,0,5,1,15.747256299997389,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,217.59910390000005,,,,,,,,,,,217.58442740000464,217.59910390000005,217.73749690000113,233.49980860000505,HotstarControl.jpg,Plan 1,1,15.747256299997389,None,233.50095800000418,233.51704769999924,234.0118039000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.21969589999935,234.23210780000227,234.5180118999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
0,0,0,,,,1,29.127592999997432,None,,,,,,,,,,,0,0,0,0,,,,,,,,,234.58650960000523,,,,,,,,,,,,,,,,,,,,263.85499460000574,263.88204170000245,264.36307070000476,234.56554840000172,234.58650960000523,234.70720970000548,263.8546579000031,Zee520.jpg,Plan 1,1,29.127592999997432,None,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
1,0,1,,,,3,11.687866000000213,None,,,,,,,,,,,1,0,1,0,,,,,,,,,264.4355405000024,,,,,,,,,,,,,,,,,,,,276.27551450000465,276.2933828000023,276.7784754000022,264.4155342000013,264.4355405000024,264.572404700004,276.2752743000019,Netflix20.jpg,Plan 3,3,11.687866000000213,None,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
2,0,2,,,,3,10.087937500000407,None,,,,,,,,,,,2,0,2,0,,,,,,,,,276.85398949999944,,,,,,,,,,,,,,,,,,,,287.0974406000023,287.12327590000496,287.6073785000044,276.826353299999,276.85398949999944,276.9962366000036,287.09722010000405,Hotstar20.jpg,Plan 3,3,10.087937500000407,None,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
3,0,3,,,,2,17.088167999994766,None,,,,,,,,,,,3,0,3,0,,,,,,,,,287.6752534000043,,,,,,,,,,,,,,,,,,,,304.9080721999999,304.9335304000051,305.41288899999927,287.6541614000016,287.6752534000043,287.81210110000393,304.907758500005,SonyLiv20.jpg,Plan 2,2,17.088167999994766,None,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
4,0,4,,,,3,13.110371500006295,None,,,,,,,,,,,4,0,4,0,,,,,,,,,305.49906020000344,,,,,,,,,,,,,,,,,,,,318.75056290000066,318.7718332000004,319.2616488000058,305.47736820000137,305.49906020000344,305.63718820000213,318.75028710000333,Crunchyroll20.jpg,Plan 3,3,13.110371500006295,None,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
