thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014828899875283241,0.03266759985126555,2.0485639998223633,2.0992459999397397,3.0158118999097496,7.571455399971455,space,4.540066799847409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
0,0,0,1,2.817266199970618,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,7.655176899861544,,,,,,,,,,,7.591830699937418,7.655176899861544,7.781854999950156,10.615494199795648,AppleOneControl.jpg,Plan 1,1,2.817266199970618,None,10.615593499969691,10.63104119990021,11.147605499951169,11.114491599844769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
1,0,1,1,4.386044400045648,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,11.147605499951169,,,,,,,,,,,11.129321999847889,11.147605499951169,11.315540299983695,15.71355739980936,HotstarControl.jpg,Plan 1,1,4.386044400045648,None,15.713682599831372,15.729139099828899,16.246444499818608,16.21315239998512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
2,0,2,2,3.4322504000738263,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,16.246444499818608,,,,,,,,,,,16.22582699987106,16.246444499818608,16.41358849988319,19.84758329996839,NetflixControl.jpg,Plan 2,2,3.4322504000738263,None,19.847720899851993,19.861684099771082,20.37867459980771,20.34607299999334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
3,0,3,1,3.036407600156963,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,20.37867459980771,,,,,,,,,,,20.361253099981695,20.37867459980771,20.563088399823755,23.613077099900693,CrunchyrollControl.jpg,Plan 1,1,3.036407600156963,None,23.613174499943852,23.627597899874672,24.144687799969688,24.111918699927628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
4,0,4,3,2.378014199901372,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,24.144687799969688,,,,,,,,,,,24.129975199932232,24.144687799969688,24.32847399986349,26.71363959996961,SonyLivControl.jpg,Plan 3,3,2.378014199901372,None,26.713805299950764,26.72635139990598,27.243261199910194,27.210355599876493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
5,0,5,2,2.3911007998976856,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,27.243261199910194,,,,,,,,,,,27.222733199829236,27.243261199910194,27.428293799981475,29.82780099986121,Zee5Control.jpg,Plan 2,2,2.3911007998976856,None,29.827941299881786,29.843219199916348,30.357562999939546,30.327892999863252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.353589999955148,30.357562999939546,,30.843594499863684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
0,0,0,,,,3,2.034622099949047,None,,,,,,,,,,,0,0,0,0,,,,,,,,,30.876185999950394,,,,,,,,,,,,,,,,,,,,33.09560609981418,33.10880829999223,33.62527239997871,33.59245699993335,30.860243399860337,30.876185999950394,31.044174699811265,33.09543449990451,Hotstar20.jpg,Plan 3,3,2.034622099949047,None,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
1,0,1,,,,3,3.495321499882266,None,,,,,,,,,,,1,0,1,0,,,,,,,,,33.62527239997871,,,,,,,,,,,,,,,,,,,,37.310198299819604,37.324327499838546,37.84032119996846,37.80915499990806,33.61080549983308,33.62527239997871,33.8092402999755,37.310057199792936,SonyLiv20.jpg,Plan 3,3,3.495321499882266,None,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
